Rank,Team,off_eff,def_eff,possessions,Elo
180,San Francisco Dons,110.6018183466494,109.60204549116408,67.01171875,1514.3909848600338
181,Drexel Dragons,103.31531570691537,103.27237546876246,65.128125,1513.2758281993476
182,Washington Huskies,111.72625696187355,107.45822928992092,69.0078125,1512.7272556679866
183,Southern Illinois Salukis,103.00542086583951,99.50715076682425,70.54112903225807,1512.544490741567
184,Western Carolina Catamounts,110.86414936283334,113.91243412925493,69.48103448275862,1512.1028035635015
185,Columbia Lions,110.11626819889771,108.87890026137227,67.88653846153846,1511.5219159107248
186,Colgate Raiders,110.86849863977754,110.90294533079116,68.19274193548387,1511.4491533600603
187,Purdue Fort Wayne Mastodons,107.06684439879297,114.54062646531713,69.22500000000001,1511.1748207790242
188,Baylor Bears,116.26721698463963,111.89327938425966,69.69516129032259,1510.7562240895695
189,Iona Gaels,106.35895573501703,104.86752056798625,69.690625,1509.2546561976878
190,Boston University Terriers,114.26224786302048,114.30319682557653,65.33333333333333,1508.6552880980405
191,Rhode Island Rams,104.58820787190088,102.56923388269692,66.98064516129033,1507.019387782481
192,Stony Brook Seawolves,104.38427061196634,108.11185576444936,67.51833333333333,1506.8093860572312
193,Buffalo Bulls,114.69220175536152,112.46305464932908,67.86379310344827,1506.541587738528
194,Campbell Fighting Camels,108.36797552910674,112.79319630847075,70.13828125,1506.3549302664946
195,Creighton Bluejays,109.99077441286745,109.37271435744074,68.69193548387096,1505.9336269508435
196,Northwestern Wildcats,111.82157203892551,108.95843526404711,65.51060606060605,1505.2373779934644
197,Omaha Mavericks,107.40125646068921,112.65898628454167,68.88793103448276,1504.9614528800546
198,New Mexico State Aggies,108.84959242318126,108.82551883022765,67.99827586206897,1503.2245192501284
199,Florida A&M Rattlers,99.41290831587217,106.0218867681371,70.56339285714286,1502.843773338323
200,Providence Friars,115.76554720981368,112.82396608152578,74.07421875,1502.4906402441045
201,Massachusetts Minutemen,109.64540244843884,108.32429645194134,73.0475,1501.817568799473
202,Ohio Bobcats,107.66575047887834,112.67406628281103,71.23189655172413,1501.706445598118
203,Oakland Golden Grizzlies,114.34707117059637,116.738983831511,71.30725806451613,1500.9207016029363
204,DePaul Blue Demons,103.29507681448956,102.82890831762937,67.6625,1500.5867279346398
205,Missouri State Bears,108.71954019714626,110.34235072535752,67.60775862068965,1500.4818213130698
206,Alabama A&M Bulldogs,105.85339198130495,110.1596587029079,67.52314814814815,1499.6921442523742
207,Butler Bulldogs,111.15426253018752,110.46070577120989,70.91935483870968,1499.213068312298
208,Radford Highlanders,109.06252732509007,109.7163584626576,73.51810344827587,1498.8894600099018
209,Weber State Wildcats,111.81017426677023,111.913644764419,70.74833333333332,1498.7809622724656
210,Minnesota Golden Gophers,110.30965710866826,107.44429041685424,63.29453125,1498.7019314620186
211,Mount St. Mary's Mountaineers,99.92542987404647,104.49850236103079,68.04274193548386,1498.2494243789365
212,Eastern Washington Eagles,111.190120515297,114.51586812600856,69.946875,1497.1663427498684
213,UNC Asheville Bulldogs,105.6177447825438,109.0381200113378,68.01293103448276,1496.5928874284225
214,Charlotte 49ers,111.77099359597601,113.05166402777931,65.31916666666667,1496.3265649343691
215,South Dakota Coyotes,107.1032278790914,113.9842293159491,72.42857142857143,1496.312771160143
216,Denver Pioneers,115.90997076781589,121.15855680972967,69.50431034482759,1495.1265463675518
217,Mercyhurst Lakers,104.22804013750377,104.27330185772217,65.3171875,1494.9234567837696
218,Xavier Musketeers,109.43806267055804,111.39905945782485,71.86484375,1494.2011654833846
219,Georgetown Hoyas,108.61770461884994,107.58108713729699,67.91015625,1494.1210279181323
220,Longwood Lancers,106.4594416053286,106.58097026687777,71.25862068965517,1493.5721194470111
221,St. Bonaventure Bonnies,112.68094287829034,111.59088839052194,68.38790322580645,1491.2446868486318
222,New Orleans Privateers,106.23900543399832,111.15699245889623,70.2780303030303,1491.1697724757084
223,Southern Jaguars,105.00404953108107,110.91532368854632,72.71875,1490.6158573091843
224,Rutgers Scarlet Knights,105.13221277865428,112.20066791348263,67.1921875,1490.3648124897834
225,Florida International Panthers,107.73708776791665,108.89622597059301,72.20689655172414,1490.1076403557654
226,Prairie View A&M Panthers,103.27014913581968,107.74842339699784,73.63103448275862,1489.7374966244693
227,Syracuse Orange,108.56454781317906,107.67092221177704,69.15703125,1489.3929473154635
228,Temple Owls,111.26131098159367,108.75606388180894,64.89193548387097,1488.7329397817057
229,Morgan State Bears,100.65499610389168,113.16295769633919,71.19444444444444,1486.9511348957765
230,UNC Greensboro Spartans,110.16411632537907,116.86055484572444,69.26209677419355,1486.8965378320092
231,Florida Gulf Coast Eagles,110.1153765289113,110.83246207130796,69.65483870967742,1485.461486505125
232,Jacksonville State Gamecocks,105.59416817149425,106.74654180993888,66.34655172413792,1485.0275031463548
233,NJIT Highlanders,98.01466521168396,107.94191707891115,67.67109375,1484.642278580463
234,Wagner Seahawks,105.00071643699266,109.19903538126005,66.3625,1484.06001277756
235,Norfolk State Spartans,103.35559631522567,107.38355175902433,68.83888888888889,1483.6388161780128
236,Cal Poly Mustangs,106.0171273898856,112.17390385833633,76.53629032258064,1483.146240363586
237,Youngstown State Penguins,109.0608298013345,108.92530191226508,68.90948275862068,1481.6542502893938
238,Charleston Southern Buccaneers,108.10515632925191,107.36819863003042,74.94285714285715,1481.2190648556889
239,American University Eagles,108.05141786690959,108.86017529274127,66.78666666666666,1480.1354240814603
240,Portland Pilots,102.07293817569588,111.62075494848659,70.359375,1480.06986457911
241,Presbyterian Blue Hose,104.86484836678864,108.63563798841373,66.68249999999999,1479.8196730534407
242,UMass Lowell River Hawks,104.35564760296226,112.59780536456765,68.97250000000001,1479.4610818503386
243,Pittsburgh Panthers,107.73920753072042,111.07896239684142,65.24469696969696,1479.1417652577145
244,Loyola Marymount Lions,104.75460673508509,105.81512960648705,69.18145161290323,1476.9788150567297
